iid,spend_online,spend_retail,age,white,college,male,hh_inc
5433,0,14.975,64,.7709777,.4362745,0,80.903
4504,59,261.975,52,.9784715,.6646091,0,100.771
4072,0,34,29,.9450801,.1574179,0,58.047
10122,19.975,0,26,.3282804,.4430631,0,20.389
8641,0,148,34,.7918004,.684949,0,138.173
8769,0,54,51,.742968,.3281027,0,88.017
3123,1063.825,0,21,.9225569,.8669623,0,250.001
3763,0,7.98,73,.4667488,.3456592,0,37.279
2264,38.975,58,41,.7961039,.2198221,0,55
1030,19.95,0,40,.7532214,.5238795,0,96.125
603,0,382,40,.34375,.2738007,0,53.396
7635,0,19.975,38,.2824822,.0459837,0,37.688
2577,0,53.975,41,.9718992,.2886335,0,45.75
8604,0,29,24,.8545259,.8736998,0,114.604
5550,0,39,40,.7645327,.1918605,0,30.679
5782,0,58,35,.7786885,.511041,0,64.878
2284,39,0,40,.6393211,.8366446,0,211.731
9271,24,0,23,.514227,.5501044,0,64.792
6889,0,46,21,.9744967,.6523365,0,51.944
9719,59.95,0,19,.9817851,.1362069,1,50.855
5055,0,9.975,51,.9221491,.6986302,0,105.313
3727,0,28.9,36,.8807947,.8453608,0,110.284
5565,0,204.975,37,.6049646,.7501183,0,101.735
1682,489.925,39,28,.9946128,.5233236,0,82.788
5918,0,133.825,29,.2089686,.3467012,0,25.758
1031,182.1,0,40,.4503956,.212491,0,23.409
10532,19,0,24,.9464175,.6859422,0,141.552
9460,46.4,14.975,41,.940551,.7544776,0,164.583
9415,297,0,83,.9952996,.2535842,0,69.028
7722,0,19,23,0,.2439024,0,37.208
2916,427.75,0,49,.9669893,.5714916,0,161.944
5270,14,62.975,24,.3053047,.4599686,0,146.109
9971,19,0,41,.8360776,.6269649,0,94.038
8971,256,0,36,.8318182,.7087629,0,230.333
3822,0,52.975,39,.9179811,.8843663,0,120.45
8504,0,92,51,.8165218,.7919463,0,21.688
4137,84,0,62,.9822767,.5479617,0,154.643
6737,0,38.975,47,.8261377,.7057314,0,234.274
2393,175.95,0,50,1,.5993946,0,89.074
3625,99,0,48,.7897787,.876334,0,107.188
6127,0,48.95,52,.6585956,.6764264,1,111.711
9961,0,165.975,40,.0816652,.6118062,0,98.75
10258,84,0,33,.7638111,.5461347,0,122.639
5582,0,19,34,.738811,.9087523,0,42.857
7616,363,0,39,.5788712,.3872727,0,46.705
5331,0,34,42,.8543184,.8868458,0,151.65
4641,9,0,42,.7785376,.5718109,0,158.074
3319,142.925,229.925,40,1,.7967914,0,87.563
949,44,0,31,.8463476,.4288135,0,65.096
5059,14,0,44,.9155135,.727162,0,147.841
8281,0,65.385,21,.8266757,.7776442,0,234.226
876,0,131.975,21,.9152907,.7475833,0,215.417
2140,49,0,57,.9473684,.604811,0,52.125
10231,0,19,22,.7238395,.5759818,0,99.295
3978,60,265,48,.9529412,.8588235,0,250.001
6066,9.975,72.975,60,1,.7654321,0,127.273
2755,62,99.98,51,.7916847,.7417312,0,133.095
10278,0,14,46,.9305379,.4603069,0,109
5886,269,164,32,.8046154,.812933,0,100.474
6230,0,9,57,.9328716,.6053748,0,111.641
10099,64,0,26,.7544248,.6473345,0,54.151
6584,124,0,59,.9735153,.5516854,0,97.639
6777,0,1704.675,28,.7364737,.3773137,0,75.152
2813,0,14,41,.9000908,.0932091,0,60.625
7586,29,0,48,.9834123,.2246521,0,51.101
2786,34.975,0,43,.9414664,.6805421,0,104.485
9569,24.975,0,24,.9507603,.6916335,0,57.737
5459,0,14,40,.8060046,.8551035,0,100.481
6132,0,14.975,64,.5585925,.5876623,0,72.475
1140,0,9.975,36,.4651666,.1561238,0,8.096
173,222.775,34.915,42,.9571865,.3553191,0,36.494
9114,0,39,43,.8378661,.8592896,0,249.792
851,1985.75,135.15,25,.9285714,.4512906,0,80.5
19,171.975,0,55,.8723629,.517023,0,72.5
3411,0,123,25,.882,.6269284,0,130.417
10057,24.975,0,21,.8981481,.5592048,0,83.333
1719,0,14,44,.9587209,.2983129,0,86.917
8742,0,19,21,.9370034,.3723978,0,106.705
4594,0,4.975,33,1,.5095286,0,74.417
10228,0,44,56,.8693738,.3241279,1,103.843
10449,0,34,43,.9776078,.775291,0,164.698
577,0,19,57,.9593853,.3020833,0,54.773
3281,0,195.85,21,.8920765,.762208,0,157.188
9996,0,74.875,42,.9328716,.6053748,0,111.641
4888,48,19.975,40,.6078317,.7562446,0,73.75
501,0,93,56,.9465829,.7351351,0,174.013
5707,19.975,0,44,.8818069,.6873563,0,115
2537,0,172.975,21,1,.4361905,0,52.639
9130,0,14,34,.7808418,.5490922,0,70.549
10463,0,88.975,40,.6152056,.6600832,0,176.136
5702,18.975,0,39,.7617096,.728079,0,137.054
5881,68.975,0,81,.5432966,.6367568,0,150.435
3268,1821.95,1313.975,49,.8955404,.6053143,0,250.001
1187,220,0,52,.9663988,.866417,0,207.841
2183,36.93,27.43,54,.8732622,.4380208,0,69.665
2659,0,68,52,.7437309,.8368984,1,120.375
4129,286,0,25,.4179372,.1653924,0,61.409
9574,19,0,40,.9577338,.6657929,0,130.101
8900,75,154,39,.924297,.6920877,1,140.139
5417,93,0,53,.7078025,.3896552,0,106.806
7644,0,34,31,.6864618,.287594,0,41.438
8955,0,14.975,37,.8245721,.8532258,0,124.722
997,0,14.975,52,1,.7832168,0,155
7216,0,49,47,.8902655,.2535684,0,53.648
4856,156,0,22,.996732,.1467953,0,49.01
4435,39,0,47,.8342118,.3406594,0,51.509
5385,9,0,30,.9417562,.4788392,0,63.526
8782,0,59,41,.7498192,.5337942,1,31.387
6426,181.875,0,37,.9583333,.5163584,0,105.781
7531,0,78.975,48,.7651775,.6193548,0,39.063
941,12,0,40,.8008497,.3639871,0,60.703
6356,14.975,0,54,1,.2999389,1,46.806
5175,166,0,44,.9380863,.7642487,0,149.286
7199,0,34,34,.5064711,.6563821,0,79.798
1360,0,319.975,53,.8685848,.5877598,0,133.571
9884,238.475,205.975,57,.8540434,.1189873,0,34.688
5439,44,130.975,45,.9265419,.5817806,1,161.51
478,29.9,44.95,22,.3068089,.2982216,0,55.743
10326,0,83,40,.53297,.6494083,0,154.583
4290,164.925,0,42,.8172653,.5513768,0,65.952
2105,89,0,64,.8320363,.2101242,1,41.875
8280,0,19,41,.6607843,.3149606,0,91.723
14,14.975,118,29,.3241053,.2868369,0,40.322
6134,0,14.975,34,.8661417,.5081967,0,90.956
6228,302,558,47,.6493084,.5164506,0,149.886
5251,44.975,9.975,25,.2732013,.4560703,0,63.25
1895,0,69,30,.6636086,.083976,0,27.165
6809,0,34,53,.9138119,.7633878,0,159.167
9121,0,52.975,51,.9257376,.1358543,0,44.188
3673,0,23,36,.6636114,.5387489,1,156.698
2141,158.95,34,51,.9283784,.6768489,0,94.531
6903,24.975,49.925,36,.9891186,.384252,0,119.355
5357,0,38.4,22,.8020619,.6762546,0,157.941
5007,14.95,76.705,20,.9763258,.2534819,0,70.952
8294,34.975,0,43,.9541631,.7610063,1,141.316
9793,43.975,97.975,40,.550966,.5513918,0,45.729
9334,207.95,0,40,.0171617,.5874649,0,150.912
9303,0,77.95,40,.9220415,.6373333,0,127.5
6904,149,0,54,.8652257,1,0,238.919
2735,0,38,29,.852618,.6531339,0,72.031
4092,0,82,37,.5033784,.6480836,0,115.24
1010,24.975,0,30,.8379141,.4136516,0,96.194
1165,34.975,0,25,.0472837,.159948,0,41
1812,78.45,74,40,.95094,.8393881,0,154.078
6435,0,209.975,58,.6919224,.2275862,1,49.3
8572,98,0,40,.8510401,.4710539,0,104.272
1212,49,0,48,.9840657,.2532691,0,56.576
4471,24.975,0,53,.5599276,.4351536,0,34.898
6128,0,273.975,56,.9691877,.6144756,0,70.076
5770,0,63.975,38,.4092689,.6829493,0,85.577
9774,14.975,0,20,.9833333,.3266753,0,47.212
4156,84,0,47,.9464945,.8214665,0,106.667
6721,0,63,39,.7913938,.5861635,0,107.292
9916,0,45.975,39,.6261615,.5186275,0,15.954
4977,0,180,40,.5831325,.6493506,0,78.227
1966,59.975,78.975,36,.6473765,.8660812,0,102.5
9712,0,165.95,41,.9478765,.6476274,0,122.125
229,607.665,204.925,46,.9533437,.4542334,0,39.688
9332,0,105.975,56,.8977346,.5680239,0,119.231
8214,0,14,54,.6289308,.6420361,0,62.891
6158,59,111.975,55,.9853747,.8878049,0,193.25
2190,0,61.75,27,.3756076,.4497937,1,107.34
4462,0,245,41,.8289676,.4820847,0,35.688
8850,49.925,0,40,.4078947,.4251969,0,39.5
9201,59,0,40,.7725146,.7297297,1,79.264
9671,0,19.95,35,.2560554,.3510583,1,99.615
3061,0,34,41,.440501,.4025045,0,98.009
8142,0,79.975,21,.9677981,.7288378,0,160.804
3745,0,159,42,.9253112,.6483333,0,159.936
3197,0,2.475,25,.7174254,.6225597,0,25.033
6759,74,354,40,.5701754,.4262086,0,43.25
4997,0,92,46,.987569,.7553517,0,150.568
10255,34,0,51,.7247154,.690411,1,118.393
8586,14,0,53,.9414381,.8076037,1,133.438
8060,295.975,0,52,.8718171,.4969062,0,81.458
1329,59.9,0,47,.8780761,.7239513,0,162.795
840,24,0,38,.6381617,.8813559,0,86.01
716,142,92,43,.9324074,.9226667,0,248.359
4396,0,14.975,55,.890164,.6079404,0,111.818
5800,34,39,21,.8922443,.4921415,0,41.01
8490,0,72.95,19,.664518,.4649741,0,86.734
1701,14.975,0,21,.8874917,.492823,0,74.688
5682,84.975,0,48,.7429346,.5996284,1,52.076
8746,4.975,0,52,.9630072,.4186046,0,59.375
3789,0,34.975,38,.8745353,.4485294,0,76.797
8870,73.975,0,49,.9428858,.4214418,0,69.36
3543,702,457.45,40,.8845071,.7734457,0,71.618
10504,0,26.975,46,.9306452,.7556886,0,116.181
3942,0,145,41,.8182107,.3471164,0,83.75
4616,0,78.95,45,.9150831,.2362592,0,64.375
3086,0,34.975,35,.9350269,.2206221,0,52.207
4789,73.975,59,20,.2892403,.2414757,1,94.369
2191,187,78,56,.710162,.6989967,0,143.393
1631,0,155.475,25,.9676637,.4802372,0,38.836
8034,0,14,43,.7933754,.3728155,0,72.396
4545,0,44.925,49,.9449627,.9605055,0,250.001
8507,32.955,0,20,.320421,.2252619,0,86.442
6671,0,237.9,53,.7336011,.3016453,0,75.8
2328,68.95,0,41,.8725975,.334845,0,29.375
2531,323.96,85.73,27,.8555176,.8577127,0,115.357
27,49.95,0,40,.4638865,.1825573,0,52.621
4077,192.9,67.975,37,.4156928,.7230769,0,22.222
9914,122.975,64,32,.557879,.1363128,0,72.5
5723,0,120,41,.9840183,.439759,0,33.854
2177,0,9.975,22,.9487423,.4938111,1,83.472
6138,0,69,43,.9400136,.3366834,0,14.212
2450,0,19.975,26,.036246,.1196809,0,44.853
4113,0,121.975,44,1,.509434,0,86.477
3283,59,0,55,.8988451,.4600366,0,57.614
7783,0,63,42,.8337119,.4455026,0,97.861
3135,14.975,0,52,1,.6260404,0,70.722
8737,9.975,59,25,.9941652,.4977099,0,110.714
5243,415.15,35.95,41,.6300941,.2693157,0,51.976
10243,14.975,0,32,.7520891,.2646341,1,66.025
10394,79,19.95,42,.4461538,.4421416,0,73.854
1412,9.975,0,34,.6189873,.534279,0,65.321
7413,0,24,41,.953125,.6099237,0,120.815
9055,39,0,42,.3368771,.3909665,0,76.415
1372,0,29,49,.8729107,.5450098,0,143.362
10452,30,0,48,.6780545,.1217075,0,34.631
3740,0,14,51,.7042599,.7521879,0,153.043
6862,143.9,155.975,40,.94227,.4277778,0,85.333
3751,0,181,47,.7937971,.8562005,0,154.63
4808,0,131,41,.6759026,.7335563,0,91.696
4529,0,19,55,.72,.8514151,0,131.875
5320,0,78,50,1,.5285996,0,74.917
7050,19.975,0,28,.7569721,.7413074,0,78.738
4634,0,73,34,.7143917,.6996403,0,71.944
8487,0,14,19,.4332206,.6210014,1,234.741
2954,72.975,0,23,.6384693,.2774086,0,59.185
9283,0,193.975,23,.9255933,.3374642,0,65.938
4783,0,19.975,40,.6270053,.6962025,0,130.156
3552,58.975,0,46,.7243308,.1648746,0,35.625
5557,108,14.975,59,.9649289,.6437588,0,137.344
10311,99,39,43,.5276518,.5150115,0,162.857
8293,361,0,41,.7729211,.3804645,0,39.548
4561,108,0,34,.5076401,.517037,0,56.413
